time,temperature,cost,edge_cost,travel_cost,delay_cost
1,15000,734,490,104,140
2,7500,734,490,104,140
3,5000,645,350,105,190
4,3750,535,185,120,230
5,3000,542,143,129,270
6,2500,556,106,130,320
7,2142.8571428571427,543,142,121,280
8,1875,556,106,130,320
9,1666.6666666666667,551,50,131,370
10,1500,588,32,146,410
11,1363.6363636363637,588,32,146,410
12,1250,537,32,145,360
13,1153.8461538461538,476,26,130,320
14,1071.4285714285713,476,26,130,320
15,1000,476,26,130,320
16,937.5,434,33,121,280
17,882.3529411764706,478,22,136,320
18,833.3333333333334,478,22,136,320
19,789.4736842105264,478,22,136,320
20,750,483,27,136,320
21,714.2857142857143,483,27,136,320
22,681.8181818181819,533,22,151,360
23,652.1739130434783,533,22,151,360
24,625,533,22,151,360
25,600,533,22,151,360
26,576.9230769230769,627,61,166,400
27,555.5555555555555,627,61,166,400
28,535.7142857142857,569,7,152,410
29,517.2413793103449,569,7,152,410
30,500,569,7,152,410
31,483.8709677419355,595,35,160,400
32,468.75,595,35,160,400
33,454.54545454545456,595,35,160,400
34,441.1764705882353,547,38,159,350
35,428.57142857142856,547,38,159,350
36,416.6666666666667,547,38,159,350
37,405.4054054054054,597,37,160,400
38,394.7368421052632,675,60,175,440
39,384.61538461538464,675,60,175,440
40,375,640,76,174,390
41,365.8536585365854,770,202,188,380
42,357.14285714285717,665,152,173,340
43,348.83720930232556,665,152,173,340
44,340.90909090909093,665,152,173,340
45,333.3333333333333,665,152,173,340
46,326.0869565217391,665,152,173,340
47,319.1489361702128,665,152,173,340
48,312.5,665,152,173,340
49,306.1224489795918,700,136,174,390
50,300,694,136,168,390
51,294.11764705882354,694,136,168,390
52,288.46153846153845,694,136,168,390
53,283.0188679245283,697,139,168,390
54,277.77777777777777,651,97,154,400
55,272.72727272727275,569,19,140,410
56,267.85714285714283,569,19,140,410
57,263.1578947368421,506,5,131,370
58,258.62068965517244,506,5,131,370
59,254.23728813559322,463,17,116,330
60,250,495,49,116,330
61,245.9016393442623,537,142,115,280
62,241.93548387096774,537,142,115,280
63,238.0952380952381,537,142,115,280
64,234.375,537,142,115,280
65,230.76923076923077,487,143,114,230
66,227.27272727272728,487,143,114,230
